username,course,registered_at,start_date,account_age_days,user_cohort
Lu'lu' Yolanda Putri,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2025-10-24 00:45:47+00:00,2026-01-09 22:00:00+00:00,77.88487268518519,Existing User
Dinda0508,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2026-01-09 04:48:12+00:00,2026-01-09 22:00:00+00:00,0.7165277777777778,New User
Anastasya Theo,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2026-01-10 05:37:11+00:00,2026-01-09 22:00:00+00:00,-0.3174884259259259,New User
Fivi Syahfitri,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2025-12-23 08:17:45+00:00,2026-01-09 22:00:00+00:00,17.571006944444445,Existing User
Mafizi Shadow,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2025-12-29 01:25:37+00:00,2026-01-09 22:00:00+00:00,11.857210648148149,Existing User
Mocia,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2013-02-20 21:32:13+00:00,2026-01-09 22:00:00+00:00,4706.0192939814815,Existing User
Aqila rahmi,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2026-01-10 03:14:00+00:00,2026-01-09 22:00:00+00:00,-0.21805555555555556,New User
Zhilal Darma,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2018-09-25 06:17:31+00:00,2026-01-17 22:00:00+00:00,2671.6545023148146,Existing User
Triwahyuni.o,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2022-09-23 02:33:47+00:00,2026-01-17 22:00:00+00:00,1212.8098726851852,Existing User
Nabilla Amirah,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-01-05 06:35:28+00:00,2026-01-17 22:00:00+00:00,377.642037037037,Existing User
Rfadilla,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-05-14 04:19:13+00:00,2026-01-17 22:00:00+00:00,248.7366550925926,Existing User
Melani Nur Azizah,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-05-18 08:57:45+00:00,2026-01-17 22:00:00+00:00,244.54322916666666,Existing User
Laila Nasution,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-09-09 11:29:44+00:00,2026-01-17 22:00:00+00:00,130.4376851851852,Existing User
DwiFidratul,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-06-26 11:35:02+00:00,2026-01-17 22:00:00+00:00,205.43400462962964,Existing User
Diarahmaa,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-06-26 11:09:24+00:00,2026-01-17 22:00:00+00:00,205.45180555555555,Existing User
Mislaura Vani,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-09-25 12:35:46+00:00,2026-01-17 22:00:00+00:00,114.39182870370371,Existing User
EDITIAWARMAN,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-10 14:28:18+00:00,2026-01-17 22:00:00+00:00,7.313680555555556,Existing User
Wahyu Rahmat Ilahi,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-05-30 03:18:11+00:00,2026-01-17 22:00:00+00:00,232.77903935185185,Existing User
Mirasusanti12345,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-18 04:48:51+00:00,2026-01-17 22:00:00+00:00,-0.2839236111111111,New User
Aya2201,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-18 05:30:27+00:00,2026-01-17 22:00:00+00:00,-0.3128125,New User
Syahrul pembelajar,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-10 14:15:20+00:00,2026-01-17 22:00:00+00:00,7.322685185185185,Existing User
Rickyimadia,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-10 02:15:02+00:00,2026-01-17 22:00:00+00:00,7.822893518518518,Existing User
Icayunisarm,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2025-05-29 04:14:06+00:00,2026-01-17 22:00:00+00:00,233.74020833333333,Existing User
Budialen65,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-09 16:32:29+00:00,2026-01-17 22:00:00+00:00,8.22744212962963,Existing User
Ecamirna,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-09 16:09:32+00:00,2026-01-17 22:00:00+00:00,8.24337962962963,Existing User
Ekahei,Wikimedia_Indonesia/Wikilatih_Wikidata_Padang_18_Januari_2025,2026-01-12 07:44:01+00:00,2026-01-17 22:00:00+00:00,5.594432870370371,New User
Losstreak,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2022-11-21 07:22:21+00:00,2026-01-17 22:00:00+00:00,1153.6094791666667,Existing User
Eccyjermany,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-16 03:35:01+00:00,2026-01-17 22:00:00+00:00,1.7673495370370371,New User
Mobilelegendbangbang,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 03:37:49+00:00,2026-01-17 22:00:00+00:00,-0.2345949074074074,New User
Edo Alamsyah,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-12 15:08:26+00:00,2026-01-17 22:00:00+00:00,5.285810185185185,New User
Asepkarbuu,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 03:41:44+00:00,2026-01-17 22:00:00+00:00,-0.2373148148148148,New User
Elsa Firlya,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-08 04:27:56+00:00,2026-01-17 22:00:00+00:00,9.730601851851851,Existing User
Radsfarda,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 02:10:52+00:00,2026-01-17 22:00:00+00:00,-0.17421296296296296,New User
Xiezyun,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-17 14:56:50+00:00,2026-01-17 22:00:00+00:00,0.29386574074074073,New User
Deliissss,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 03:32:17+00:00,2026-01-17 22:00:00+00:00,-0.2307523148148148,New User
Waaawaaa,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-15 05:09:14+00:00,2026-01-17 22:00:00+00:00,2.7019212962962964,New User
Vina Syahruni,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-15 15:29:53+00:00,2026-01-17 22:00:00+00:00,2.270914351851852,New User
Sitiliza,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-15 12:47:46+00:00,2026-01-17 22:00:00+00:00,2.3834953703703703,New User
Zam Zam Islamy,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-09 04:25:42+00:00,2026-01-17 22:00:00+00:00,8.732152777777777,Existing User
Muhammad Zaki Ariza,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-08 14:28:49+00:00,2026-01-17 22:00:00+00:00,9.31332175925926,Existing User
Amruelasaa,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 00:48:09+00:00,2026-01-17 22:00:00+00:00,-0.11677083333333334,New User
Noirick,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 03:45:03+00:00,2026-01-17 22:00:00+00:00,-0.23961805555555554,New User
Lylyblee,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-12 16:01:04+00:00,2026-01-17 22:00:00+00:00,5.249259259259259,New User
Vdtmp,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 03:35:22+00:00,2026-01-17 22:00:00+00:00,-0.23289351851851853,New User
Affandy Murad,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2008-06-30 12:36:43+00:00,2026-01-24 22:00:00+00:00,6417.391168981481,Existing User
Muhamad Izzul Fiqih,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2022-06-11 08:06:37+00:00,2026-01-24 22:00:00+00:00,1323.5787384259258,Existing User
Pitchrigi,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2023-06-03 15:30:03+00:00,2026-01-24 22:00:00+00:00,966.2707986111111,Existing User
Dho Hindun,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2025-05-26 12:13:18+00:00,2026-01-24 22:00:00+00:00,243.40743055555555,Existing User
Iluvtari,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2025-05-26 08:48:44+00:00,2026-01-24 22:00:00+00:00,243.54949074074074,Existing User
YOGI NUGRAHA PUTRA,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2025-03-23 10:24:58+00:00,2026-01-24 22:00:00+00:00,307.482662037037,Existing User
Kreasipenaikhwan,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-15 09:56:53+00:00,2026-01-24 22:00:00+00:00,9.502164351851851,Existing User
Gemoy emes,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2025-12-21 09:23:11+00:00,2026-01-24 22:00:00+00:00,34.52556712962963,Existing User
Arkadaş Li,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-15 11:15:39+00:00,2026-01-24 22:00:00+00:00,9.447465277777777,Existing User
Zaara wylie,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-16 18:02:52+00:00,2026-01-24 22:00:00+00:00,8.164675925925925,Existing User
NurraCealo79,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-16 06:19:40+00:00,2026-01-24 22:00:00+00:00,8.653009259259258,Existing User
Ika Y. Suryadi,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2023-01-12 02:41:15+00:00,2026-01-24 22:00:00+00:00,1108.8046875,Existing User
Akusukabayam,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-25 03:10:30+00:00,2026-01-24 22:00:00+00:00,-0.215625,New User
Bang Muk,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-25 03:04:15+00:00,2026-01-24 22:00:00+00:00,-0.21128472222222222,New User
ArifMaiZam1001,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-24 00:08:54+00:00,2026-01-24 22:00:00+00:00,0.9104861111111111,New User
Ridwan Sugara,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-25 02:59:51+00:00,2026-01-24 22:00:00+00:00,-0.20822916666666666,New User
Chevi absyar,Wikimedia_Indonesia/Wikilatih_Wikidata_YBLI,2025-11-10 06:48:42+00:00,2026-01-21 22:00:00+00:00,72.63284722222222,Existing User
Sygrayem,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2014-12-17 13:11:20+00:00,2026-01-28 17:00:00+00:00,4060.1587962962963,Existing User
Empat Tilda,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2018-02-13 11:25:35+00:00,2026-01-28 17:00:00+00:00,2906.2322337962964,Existing User
Ah.Masyhar,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2021-10-09 13:13:51+00:00,2026-01-28 17:00:00+00:00,1572.1570486111111,Existing User
Mery Nurfa Dilla,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2021-10-24 06:16:42+00:00,2026-01-28 17:00:00+00:00,1557.446736111111,Existing User
Nurhidayah Tanjung,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2020-02-04 12:06:12+00:00,2026-01-28 17:00:00+00:00,2185.204027777778,Existing User
Rizall 91202,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2023-01-01 03:09:15+00:00,2026-01-28 17:00:00+00:00,1123.5769097222221,Existing User
Annidafattiya,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2023-03-13 12:01:15+00:00,2026-01-28 17:00:00+00:00,1052.2074652777778,Existing User
Happywu,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2023-12-07 15:52:47+00:00,2026-01-28 17:00:00+00:00,783.0466782407408,Existing User
Muufii,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2024-06-27 08:34:34+00:00,2026-01-28 17:00:00+00:00,580.3509953703704,Existing User
